,NbArticle,Score,ScoreParArticleMoyen
2018,117828,36419970,309.0943578775843
2017,61454,13847465,225.3305724607023
2019,100921,1366797820,13543.244914338939
2013,32180,3524129,109.51302050963331
2008,10313,1268774,123.02666537380006
2009,26556,2586961,97.4153110408194
2016,51472,7723423,150.05095974510414
2011,21952,2426891,110.55443695335276
2012,29717,3126061,105.19436686071946
2010,19154,2079474,108.56604364623577
2015,34876,5050234,144.80542493405207
2014,31603,3509285,111.0427807486631
2006,21,399,19.0
2001,1,360,360.0
2007,19,406,21.36842105263158
